Phoneme Tag,Class,Precision_Train,Recall_Train,F1_Train,Support_Train,Precision_Dev,Recall_Dev,F1_Dev,Support_Dev
SIL,0,0.9340575455079272,0.8007147890868821,0.8622614917606245,19866.0,0.9030511811023622,0.7451776649746192,0.8165535654689063,4925.0
SIL,1,0.8796290665855884,0.9626339256005856,0.9192615658362989,30054.0,0.8115615615615616,0.9320572512502155,0.867645878481419,5799.0
AE,0,0.9718706047819972,0.9906810035842294,0.9811856585019524,2790.0,0.9383070301291249,0.989409984871407,0.9631811487481591,661.0
AE,1,0.9462809917355371,0.8513011152416357,0.8962818003913895,538.0,0.9351851851851852,0.7013888888888888,0.8015873015873016,144.0
AH,0,0.9758403361344538,0.9921680313278747,0.983936451897617,2809.0,0.9616519174041298,0.965925925925926,0.9637841832963784,675.0
AH,1,0.9589552238805971,0.8816466552315609,0.9186773905272564,583.0,0.8357142857142857,0.8181818181818182,0.8268551236749117,143.0
AW,0,0.9732111385266127,0.9896057347670251,0.9813399680113738,2790.0,0.9667170953101362,0.9815668202764977,0.9740853658536585,651.0
AW,1,0.9477477477477477,0.8737541528239202,0.909248055315471,602.0,0.9210526315789473,0.8641975308641975,0.89171974522293,162.0
AY,0,0.9569056870363829,0.9723618090452262,0.964571835499377,2786.0,0.9683734939759037,0.9568452380952381,0.9625748502994012,672.0
AY,1,0.888243831640058,0.8337874659400545,0.860154602951511,734.0,0.8333333333333334,0.8734939759036144,0.8529411764705883,166.0
B,0,0.9484536082474226,0.9831092726645985,0.965470548408937,2901.0,0.93646408839779,0.9755395683453237,0.9556025369978858,695.0
B,1,0.8093385214007782,0.5730027548209367,0.6709677419354839,363.0,0.746268656716418,0.5208333333333334,0.6134969325153375,96.0
EH,0,0.9808612440191388,0.9925758553905746,0.986683779881277,3098.0,0.9782608695652174,0.9947984395318595,0.9864603481624759,769.0
EH,1,0.9601386481802426,0.9022801302931596,0.9303106633081445,614.0,0.9622641509433962,0.8571428571428571,0.9066666666666666,119.0
D,0,0.9452449567723343,0.9820359281437125,0.9632892804698973,2672.0,0.9438040345821326,0.9849624060150376,0.9639440765268579,665.0
D,1,0.7931034482758621,0.5476190476190477,0.647887323943662,336.0,0.696969696969697,0.3709677419354839,0.4842105263157895,62.0
DH,0,0.9398655818889282,0.9862657757980697,0.9625067922477811,2694.0,0.9225251076040172,0.9669172932330827,0.9441997063142438,665.0
DH,1,0.9261477045908184,0.7318611987381703,0.8176211453744495,634.0,0.7924528301886793,0.6086956521739131,0.6885245901639344,138.0
EE,0,0.9544969783149663,0.9714182344428365,0.9628832705755783,2764.0,0.916923076923077,0.9551282051282052,0.9356357927786499,624.0
