Task Name,Phoneme Tag,Class,Precision_Train,Recall_Train,F1_Train,Support_Train,Precision_Dev,Recall_Dev,F1_Dev,Support_Dev
1_vowel_vs_consonant,"['EE', 'IH', 'EH', 'AE', 'UH', 'ER', 'AH', 'AW', 'OO', 'UE']",0,0.9107077374404107,0.8638260869565217,0.8866476258479115,5750.0,0.9049881235154394,0.8264642082429501,0.8639455782312925,1383.0
1_vowel_vs_consonant,"['FF', 'HH', 'MM', 'NN', 'NG', 'RR', 'SS', 'SH', 'VV', 'WW', 'YY', 'ZZ']",1,0.9019534184823441,0.9366710013003902,0.9189844348047972,7690.0,0.8825831702544031,0.9376299376299376,0.909274193548387,1924.0
3_highvowel_vs_lowvowel,"['EE', 'IH', 'UE', 'OO']",0,0.9475106136626785,0.9638790734197095,0.955624756714675,2547.0,0.8880813953488372,0.9918831168831169,0.9371165644171779,616.0
3_highvowel_vs_lowvowel,"['AE', 'AH', 'AW']",1,0.9457866823806718,0.9218839747271683,0.9336823734729494,1741.0,0.986737400530504,0.8285077951002228,0.9007263922518159,449.0
4_voiced_vs_unvoiced_fricatives,"['DH', 'VV', 'ZZ']",0,0.9149043303121853,0.8898139079333987,0.9021847070506455,2042.0,0.8137254901960784,0.896328293736501,0.8530318602261048,463.0
4_voiced_vs_unvoiced_fricatives,"['FF', 'SS', 'SH', 'TH']",1,0.914187643020595,0.9341387373343726,0.9240555127216653,2566.0,0.9207920792079208,0.8545176110260337,0.886417791898332,653.0
5_ss_vs_zz,['SS'],0,0.9565807327001357,0.9527027027027027,0.954637779282329,740.0,0.8478260869565217,0.9873417721518988,0.9122807017543859,158.0
5_ss_vs_zz,['ZZ'],1,0.9478390461997019,0.9520958083832335,0.9499626587005228,668.0,0.9854014598540146,0.8282208588957055,0.9,163.0
6_b_vs_p,['B'],0,0.875,0.8700564971751412,0.8725212464589235,354.0,0.736,0.9583333333333334,0.832579185520362,96.0
6_b_vs_p,['P'],1,0.7946428571428571,0.8018018018018018,0.7982062780269059,222.0,0.9090909090909091,0.547945205479452,0.6837606837606837,73.0
7_dh_vs_th,['DH'],0,0.901453957996769,0.8815165876777251,0.8913738019169328,633.0,0.8842975206611571,0.7753623188405797,0.8262548262548263,138.0
7_dh_vs_th,['TH'],1,0.8592870544090057,0.882466281310212,0.870722433460076,519.0,0.8359788359788359,0.9186046511627907,0.8753462603878116,172.0
8_ww_vs_yy,['WW'],0,0.9402390438247012,0.9094412331406551,0.9245837414299707,519.0,0.9154929577464789,0.8387096774193549,0.8754208754208754,155.0
8_ww_vs_yy,['YY'],1,0.9197952218430034,0.9472759226713533,0.9333333333333335,569.0,0.8511904761904762,0.9225806451612903,0.8854489164086687,155.0
9_ee_vs_aw,['EE'],0,0.9852034525277436,0.9852034525277436,0.9852034525277436,811.0,0.9294605809128631,0.9911504424778761,0.9593147751605996,226.0
9_ee_vs_aw,['AW'],1,0.9798994974874372,0.9798994974874372,0.9798994974874372,597.0,0.9863945578231292,0.8950617283950617,0.9385113268608414,162.0
10_ah_vs_aw,['AH'],0,0.9446428571428571,0.9329805996472663,0.9387755102040817,567.0,0.8502994011976048,0.993006993006993,0.9161290322580644,143.0
10_ah_vs_aw,['AW'],1,0.9358108108108109,0.947008547008547,0.9413763806287172,585.0,0.9927536231884058,0.845679012345679,0.9133333333333333,162.0
11_mm_vs_nn,['MM'],0,0.891644908616188,0.8904823989569752,0.8910632746249184,767.0,0.8720379146919431,0.9633507853403142,0.9154228855721392,191.0
11_mm_vs_nn,['NN'],1,0.8810198300283286,0.8822695035460993,0.8816442239546421,705.0,0.9611111111111111,0.865,0.9105263157894737,200.0
